"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Rwanda","2020","100","2018-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Kenya","2020","90.3","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Senegal","2020","33.3","2018-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Serbia","2020","88.5","2017-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Estonia","2020","100","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Argentina","2020","21.9","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Australia","2020","87","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Austria","2020","96.2","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Bosnia and Herzegovina","2020","94.7","2016-2021","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Botswana","2020","75","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Brazil","2020","67.9","2017-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Belize","2020","100","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Bulgaria","2020","25.6","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Burundi","2020","100","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Belarus","2020","62.8","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Croatia","2020","91","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Cyprus","2020","9.1","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Czechia","2020","37.9","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Benin","2020","88.9","2018-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Denmark","2020","75","2000-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Montenegro","2020","100","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Fiji","2020","100","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Finland","2020","86.9","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","France","2020","39.4","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Gabon","2020","100","2010-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Georgia","2020","92","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Greece","2020","0","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Hungary","2020","78.4","2015-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Iceland","2020","100","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Ireland","2020","92.2","2013-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Jamaica","2020","33.4","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Japan","2020","0","2012-2015","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Republic of Korea","2020","96","2019-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Latvia","2020","100","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Liechtenstein","2020","100","2016-2017","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Madagascar","2020","81.6","2015-2017","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
