"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"523",11,"Cuba",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"524",1,"Curacao",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America",100,"%"
"525",2,"Curacao",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"526",3,"Curacao",34.8353031,29.6558915,23.529818,18.8987292,14.8177903,12.5212019,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"527",4,"Curacao",94.5772,94.57049,94.56235,94.55542,94.54929,94.5605,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"528",5,"Curacao",77.23,77.04,76.86,76.67,76.49,76.3,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"529",1,"Cyprus",106.5059,106.4443,106.4319,106.4196,106.4073,106.3949,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"530",2,"Cyprus",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"531",3,"Cyprus",31.71,29.8,29.52,28.29,31.57,37.59,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"532",4,"Cyprus",36.58537,39.02439,39.02439,39.02439,34.14634,39.02439,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"533",5,"Cyprus",1.58,1.58,1.58,1.58,1.58,1.58,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"534",6,"Cyprus",7.0492063,7.3816045,7.4678638,7.3190265,7.2924059,6.5898496,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"535",7,"Cyprus",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"536",8,"Cyprus",97.15,97.15,97.15,97.15,97.15,97.05,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"537",9,"Cyprus",12.5,12.5,12.5,12.5,12.5,9.1,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"538",10,"Cyprus",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"539",11,"Cyprus",67.84,66.02,65.89,65.77,66.97,64.84,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"540",12,"Cyprus",15.13,13.67,14.6,15.38,14.52,14.52,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"541",13,"Cyprus",99.1656,99.4595,99.75333,99.76518,99.76519,99.76517,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"542",1,"Czechia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"543",2,"Czechia",24.33,24.86,24.79,24.18,22.9,20.77,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"544",3,"Czechia",25.87413,25.17483,25.87413,25.87413,25.17483,25.17483,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"545",4,"Czechia",0.65,0.65,0.65,0.65,0.65,0.65,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"546",5,"Czechia",12.3163384,12.4566824,12.4647929,12.2369482,11.6996047,10.7460422,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"547",6,"Czechia",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"548",7,"Czechia",50,50,50,50,50,98.75,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"549",8,"Czechia",41,41,41,41,41,37.9,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"550",9,"Czechia",61.53322,61.45889,61.45159,61.40729,61.38669,61.19769,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"551",10,"Czechia",17.52,16.62,16.99,17.5,14.34,14.34,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"552",11,"Czechia",99.51787,99.51904,99.52036,99.52183,99.52344,99.5252,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"553",1,"Democratic Republic of the Congo",87.80042,87.06621,86.33132,85.59711,84.86289,84.12801,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"554",2,"Democratic Republic of the Congo",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"555",3,"Democratic Republic of the Congo",0.23,0.23,0.23,0.23,0.23,0.23,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"556",4,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"557",5,"Democratic Republic of the Congo",1.97,1.97,1.97,1.97,1.97,1.97,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"558",6,"Democratic Republic of the Congo",0.6229086,0.6095316,0.6237228,0.6037676,0.6008335,0.5874096,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"559",7,"Democratic Republic of the Congo",15.4,9.35,6.11,6.11,4.68,2.09,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.1675,"0.5% compare to 2007 in CO2-eq tonnes"
"560",8,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,66,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"561",9,"Democratic Republic of the Congo",94.02063,93.99051,93.96335,93.93538,93.90568,93.87011,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"562",10,"Democratic Republic of the Congo",66.76,62.38,60.63,61.05,61.48,61.21,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"563",11,"Democratic Republic of the Congo",32.21,32.99,31.32,31.46,31.58,31.58,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"564",12,"Democratic Republic of the Congo",38.18018,38.71638,39.25391,39.7931,40.3336,40.8754,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"565",13,"Democratic Republic of the Congo",0,0,0,0,0,0,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"566",1,"Denmark",116.6632,116.6594,116.835,117.0143,117.1898,117.3654,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"567",2,"Denmark",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"568",3,"Denmark",21.95,23.99,24.22,29.9,25.57,26.4,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"569",4,"Denmark",14.88372,15.81395,15.5814,20.23256,16.74419,17.67442,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"570",5,"Denmark",0.19,0.19,0.19,0.19,0.19,0.19,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"571",6,"Denmark",8.8645825,9.001457,8.5274926,8.475782,7.7749681,6.8865549,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"572",7,"Denmark",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"573",8,"Denmark",NA,NA,NA,NA,NA,46,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"574",9,"Denmark",NA,NA,NA,NA,NA,75,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"575",10,"Denmark",44.86181,44.62235,44.45025,44.25071,44.14449,43.98504,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"576",11,"Denmark",72.04,70.68,70.3,69.75,69.35,70.96,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"577",12,"Denmark",10.73,9.78,9.97,10.02,9.66,9.66,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"578",13,"Denmark",98.88174,99.297,99.71227,100,100,100,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"579",14,"Denmark",66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"580",1,"Djibouti",100,100,100.1786,100.7143,101.7857,103.5714,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"581",2,"Djibouti",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"582",3,"Djibouti",6.33,6.33,6.33,6.33,6.33,6.33,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"583",4,"Djibouti",100,100,100,100,100,100,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"584",5,"Djibouti",11.66,11.66,11.66,11.66,11.66,11.66,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"585",6,"Djibouti",2.0590973,1.98654,1.9242115,1.9258271,1.8781596,1.8015707,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"586",7,"Djibouti",0.56,0.54,0.51,0.48,0.45,0.38,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.003,"0.5% compare to 2007 in CO2-eq tonnes"
"587",8,"Djibouti",73.56625,73.50843,73.45454,73.38088,73.24422,73.25379,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"588",9,"Djibouti",91.81,92.1,91.46,91.32,91.32,91.16,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"589",10,"Djibouti",20.39,20.47,20.9,20.39,19.98,19.98,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"590",1,"Dominica",95.61379,95.61379,95.61379,95.61379,95.61379,95.61379,"Source","renewable ressources","state of forest reccources","America",100,"%"
"591",2,"Dominica",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"592",3,"Dominica",10,10,10,10,10,10,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"593",4,"Dominica",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"594",5,"Dominica",2.71,2.71,2.71,2.71,2.71,2.71,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"595",6,"Dominica",7.0553941,7.2087518,3.9128386,4.2075369,4.0743748,3.5351815,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"596",7,"Dominica",0.13,0.13,0.13,0.16,0.13,0.01,"Sink","global System","Consumption of HCFC in ODP per capita","America",0,"0.5% compare to 2007 in CO2-eq tonnes"
"597",8,"Dominica",90.22957,90.09299,89.98148,89.88097,89.78078,89.75855,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"598",9,"Dominica",82.61,82.87,77.28,81.9,84.12,84.67,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"599",10,"Dominica",8.81,8.88,9.23,8.75,8.22,8.22,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"600",11,"Dominica",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"601",1,"Dominican Republic",128.849,129.3445,129.84,130.3355,130.831,131.3265,"Source","renewable ressources","state of forest reccources","America",100,"%"
"602",2,"Dominican Republic",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"603",3,"Dominican Republic",39.55,39.55,39.55,39.55,39.55,39.55,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"604",4,"Dominican Republic",9.375,9.375,9.375,9.375,9.375,9.375,"Source","renewable ressources","Groundwater stress","America",25,"%"
"605",5,"Dominican Republic",8.36,8.36,8.36,8.36,8.36,8.36,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"606",6,"Dominican Republic",3.7746195,3.8655378,3.7582905,3.9404116,4.1100427,3.8659671,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"607",7,"Dominican Republic",43.39,42.23,44.41,33.1,38.06,28.95,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.25,"0.5% compare to 2007 in CO2-eq tonnes"
"608",8,"Dominican Republic",NA,NA,NA,NA,NA,69.45,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"609",9,"Dominican Republic",61.55363,60.98868,60.50354,59.99784,59.53259,58.81961,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"610",10,"Dominican Republic",77.94,77.75,77.57,77.4,77.37,77.2,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"611",11,"Dominican Republic",7.87,8.02,8.32,8,7.59,7.59,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"612",1,"Ecuador",88.1527,87.71053,87.26837,86.82689,86.38472,85.94256,"Source","renewable ressources","state of forest reccources","America",100,"%"
"613",2,"Ecuador",85.71,85.71,83.87,83.87,83.87,83.87,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"614",3,"Ecuador",6.78,6.78,6.78,6.78,6.78,6.78,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"615",4,"Ecuador",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"616",5,"Ecuador",5.32,5.32,5.32,5.32,5.32,5.32,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"617",6,"Ecuador",4.4378021,4.3176749,4.1470336,4.1287566,4.0556147,3.702041,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"618",7,"Ecuador",20.1,18.26,18.13,15.48,14.01,13.48,"Sink","global System","Consumption of HCFC in ODP per capita","America",0,"0.5% compare to 2007 in CO2-eq tonnes"
"619",8,"Ecuador",80.03772,79.93377,79.84308,79.75389,79.65423,79.46619,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"620",9,"Ecuador",76.97,77.14,76.92,76.8,76.75,76.59,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"621",10,"Ecuador",17.73,17.17,15.84,16.38,16.55,16.55,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"622",11,"Ecuador",65.37367,65.83156,66.18117,66.3947,66.60986,66.82666,"Human health and welfare","human health","Drinking water contamination","America",100,"% without E.coli"
"623",12,"Ecuador",25,25,37.5,37.5,37.5,37.5,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"624",1,"Egypt",106.7696,99.18412,99.18412,99.18412,99.18412,99.18412,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"625",2,"Egypt",52.255,52.255,52.895,52.895,52.895,52.895,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"626",3,"Egypt",110.93,110.47,141.17,141.17,141.17,141.17,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"627",4,"Egypt",460,460,433.3333,433.3333,433.3333,433.3333,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"628",5,"Egypt",0.27,0.27,0.27,0.27,0.27,0.27,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"629",6,"Egypt",3.4936599,3.518894,3.6884033,3.762782,3.6392109,3.359753,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"630",7,"Egypt",343.12,346.53,346.46,287.45,288.3,249.95,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",2.166,"0.5% compare to 2007 in CO2-eq tonnes"
"631",8,"Egypt",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"632",9,"Egypt",76.5,76.01,72.32,77.47,76.64,75.29,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"633",10,"Egypt",61.56,61.97,62.05,62.2,63.16,63.16,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"634",11,"Egypt",75,75,50,50,50,75,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"635",1,"El Salvador",84.882,84.25208,83.62216,82.99225,82.36233,81.73241,"Source","renewable ressources","state of forest reccources","America",100,"%"
"636",2,"El Salvador",86.67,86.67,86.67,86.67,86.67,86.67,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"637",3,"El Salvador",2.36,2.35,2.42,2.41,2.43,2.43,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"638",4,"El Salvador",1.788618,1.788618,1.95122,1.95122,1.95122,1.95122,"Source","renewable ressources","Groundwater stress","America",25,"%"
"639",5,"El Salvador",30.5,30.5,30.5,30.5,30.5,30.5,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"640",6,"El Salvador",2.068214,2.0730824,1.9538507,2.0018395,2.172698,1.9738454,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"641",7,"El Salvador",5.82,6.41,6.42,4.29,3.44,2.74,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.0835,"0.5% compare to 2007 in CO2-eq tonnes"
"642",8,"El Salvador",43.3,43.3,43.3,43.3,43.3,59.7,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"643",9,"El Salvador",36.77374,36.57085,36.32701,36.12157,35.85765,35.66429,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"644",10,"El Salvador",82.48,82.32,82.13,81.99,81.91,81.83,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"645",11,"El Salvador",27.18,26.44,24.94,23.36,22.15,22.15,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"646",1,"Equatorial Guinea",92.54595,92.23526,91.92457,91.61388,91.3032,90.99251,"Source","renewable ressources","state of forest reccources","America",100,"%"
"647",2,"Equatorial Guinea",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"648",3,"Equatorial Guinea",0.18,0.18,0.18,0.18,0.18,0.18,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"649",4,"Equatorial Guinea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"650",5,"Equatorial Guinea",0.87,0.87,0.87,0.87,0.87,0.87,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"651",6,"Equatorial Guinea",13.4980342,12.4736834,10.9694701,10.686682,9.2446015,9.4201196,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"652",7,"Equatorial Guinea",1.98,1.45,0.01,1.1,0.87,1.03,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.025,"0.5% compare to 2007 in CO2-eq tonnes"
"653",8,"Equatorial Guinea",91.3955,91.42566,91.45617,91.4745,91.50621,91.52753,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"654",9,"Equatorial Guinea",65.62,62.42,63.25,60.26,61.17,65.77,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"655",10,"Equatorial Guinea",27.29,26.95,26.62,26.38,25.67,25.67,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"656",1,"Eritrea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"657",2,"Eritrea",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"658",3,"Eritrea",11.18,11.18,11.18,11.18,11.18,11.18,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"659",4,"Eritrea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"660",5,"Eritrea",11.89,11.89,11.89,11.89,11.89,11.89,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"661",6,"Eritrea",1.8971161,1.9134795,1.922177,1.9473634,1.9377667,1.8912101,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"662",7,"Eritrea",0.97,0.94,0.9,0.81,0.76,0.62,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0045,"0.5% compare to 2007 in CO2-eq tonnes"
"663",8,"Eritrea",75.25643,75.20442,75.14528,75.18818,75.08116,75.23907,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"664",9,"Eritrea",86.11,85.99,85.79,85.64,85.47,82.96,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"665",10,"Eritrea",22.33,22.3,23.56,22.98,22.74,22.74,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"666",1,"Estonia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"667",2,"Estonia",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"668",3,"Estonia",17.48,18.95,19.32,17.41,10.89,9.23,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"669",4,"Estonia",5,5.5,6.25,5.25,5.75,5.5,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"670",5,"Estonia",0.09,0.09,0.09,0.09,0.09,0.09,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"671",6,"Estonia",18.9640412,18.7243363,19.6423292,20.0189067,14.9653168,14.0462968,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"672",7,"Estonia",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"673",8,"Estonia",100,100,100,100,100,65.2,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"674",9,"Estonia",NA,NA,NA,NA,NA,100,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"675",10,"Estonia",87.31932,87.3153,87.31931,87.31455,87.34048,87.25539,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"676",11,"Estonia",77.69,75.47,73.61,73.42,74.75,75.79,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"677",12,"Estonia",6.75,6.2,5.9,6.7,6.35,6.35,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"678",13,"Estonia",96.08153,95.84115,95.82552,95.80989,95.79424,95.76107,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"679",1,"Eswatini",106.3038,106.5677,106.8294,107.0911,107.3528,107.6145,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"680",2,"Eswatini",77.56,77.56,77.56,77.56,77.56,77.56,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"681",3,"Eswatini",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"682",4,"Eswatini",8.62,8.62,8.62,8.62,8.62,8.62,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"683",5,"Eswatini",2.6502137,2.7705942,2.794629,2.9835551,3.0294813,2.8527196,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"684",6,"Eswatini",1.02,1.17,0.75,0.47,0.32,0.41,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.028,"0.5% compare to 2007 in CO2-eq tonnes"
"685",7,"Eswatini",NA,NA,NA,NA,NA,87.5,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"686",8,"Eswatini",62.84912,62.91525,63.01625,63.11063,63.23935,63.26054,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"687",9,"Eswatini",14.83,14.58,14.78,14.95,15.07,15.07,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"688",1,"Ethiopia",85.74246,85.38343,85.02439,84.66536,84.30633,83.9473,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"689",2,"Ethiopia",31.51,32.26,32.26,32.26,32.26,32.26,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"690",3,"Ethiopia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"691",4,"Ethiopia",12.6,12.6,12.6,12.6,12.6,12.6,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"692",5,"Ethiopia",1.40731,1.4285469,1.4357889,1.4281777,1.4256231,1.399563,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"693",6,"Ethiopia",4.69,4.59,4.18,3.96,3.53,3.41,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0,"0.5% compare to 2007 in CO2-eq tonnes"
"694",7,"Ethiopia",NA,NA,NA,NA,NA,98.2,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"695",8,"Ethiopia",81.17287,80.90671,80.70744,80.48531,80.32984,80.08996,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"696",9,"Ethiopia",22.12,22.17,22.23,22.23,21.8,21.8,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"697",10,"Ethiopia",13.04922,13.50942,13.97011,14.43218,14.89558,15.35998,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"698",11,"Ethiopia",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"699",1,"Falkland Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America",100,"%"
"700",2,"Falkland Islands",41.18,41.18,46.67,46.67,46.67,46.67,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"701",3,"Falkland Islands",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"702",4,"Falkland Islands",56.07,59.46,59.57,59.64,58.85,56.14,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"703",1,"Faroe Islands",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"704",2,"Faroe Islands",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"705",3,"Faroe Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
